IdA,IdB,TextA,TextB,LenA,LenB,Levenshtein-Distance,Jaccard_Distance,Sentence_similarity_vect,similarity
http://www.politifact.com/wisconsin/statements/2012/jan/05/chris-abele/milwaukee-county-executive-chris-abele-says-county/,http://www.politifact.com/wisconsin/statements/2011/sep/02/chris-abele/milwaukee-county-executive-chris-abele-says-county/,Milwaukee County Executive Chris Abele says county buses are no less safe now than a year or two ago,Milwaukee County Executive Chris Abele says county buses are no less safe now than a year or two ago,100,100,0,1.0,1.0,100.0
http://www.politifact.com/wisconsin/statements/2011/jan/27/chris-abele/milwaukee-county-executive-candidate-chris-abele-s/,http://www.politifact.com/wisconsin/statements/2011/jan/13/chris-abele/milwaukee-county-executive-candidate-chris-abele-s/,Milwaukee County executive candidate Chris Abele says opponent Jeff Stone = Scott Walker,Milwaukee County executive candidate Chris Abele says opponent Jeff Stone = Scott Walker,88,88,0,1.0,1.0,100.0
http://www.politifact.com/wisconsin/statements/2010/sep/29/tom-barrett/tom-barrett-says-gubernatorial-rival-scott-walker-/,http://www.politifact.com/wisconsin/statements/2010/oct/15/tom-barrett/tom-barrett-says-gubernatorial-rival-scott-walker-/,Tom Barrett says gubernatorial rival Scott Walker eliminated economic development office during recession,Tom Barrett says gubernatorial rival Scott Walker eliminated economic development office during recession,105,105,0,1.0,1.0000002,100.0
http://www.politifact.com/truth-o-meter/statements/2012/feb/23/mitt-romney/mitt-romney-says-barack-obama-could-have-gotten-cr/,http://www.politifact.com/truth-o-meter/statements/2012/oct/15/paul-ryan/paul-ryan-says-obama-administration-watered-down-s/,Mitt Romney says Barack Obama 'could have gotten crippling sanctions against Iran. He did not.',Paul Ryan says the Obama administration ‘watered down sanctions’ against Iran,95,77,55,0.13043478260869565,0.74491847,42.10526315789473
http://www.politifact.com/truth-o-meter/statements/2011/dec/19/newt-gingrich/newt-gingrich-says-freddie-mac-electric-coo-ops-an/,http://www.politifact.com/truth-o-meter/statements/2012/jan/23/newt-gingrich/gingrich-repeats-claim-freddie-mac-credit-unions-a/,"Newt Gingrich says Freddie Mac, electric co-ops and credit unions are similar organizations","Gingrich repeats claim that Freddie Mac, credit unions are ‘government-sponsored enterprises’",91,93,63,0.3333333333333333,0.7624067,32.25806451612904
http://www.politifact.com/truth-o-meter/statements/2009/nov/19/recoverygov/recoverygov-shows-jobs-congressional-districts-don/,http://www.politifact.com/truth-o-meter/statements/2009/nov/24/jeff-miller/recovery-gov-assigns-statewide-education-jobs-one/,Recovery.gov shows jobs in Congressional districts that don't exist,Recovery.gov assigns statewide education jobs to one congressional district,67,75,48,0.2,0.65947425,36.0
http://checkyourfact.com/2017/07/20/fact-check-msnbc-host-fact-checks-entirely-made-up-conspiracy-theory-video/,http://checkyourfact.com/2017/10/23/fact-check-has-the-uranium-one-controversy-been-debunked/,MSNBC Host Fact Checks Clinton Foundation ‘Conspiracy Theory’ [VIDEO],Has The Uranium One Controversy Been ‘Debunked’?,69,48,54,0.0,0.5680357,21.739130434782606
http://www.politifact.com/florida/statements/2011/feb/10/rick-scott/rick-scotts-budget-includes-some-big-tax-cuts-not-/,http://www.politifact.com/florida/statements/2011/mar/08/rick-scott/gov-rick-scott-says-budget-cuts-taxes-2-billion/,"Rick Scott's budget includes some big tax cuts, but not all for you",Gov. Rick Scott says budget cuts taxes by $2 billion,67,52,42,0.09523809523809523,0.5077873,37.31343283582089
http://www.politifact.com/ohio/statements/2011/oct/24/josh-mandel/josh-mandel-campaign-says-sherrod-brown-owns-ohios/,http://www.politifact.com/texas/statements/2011/oct/24/josh-mandel/josh-mandel-campaign-says-sherrod-brown-owns-ohios/,Josh Mandel campaign says Sherrod Brown owns Ohio's horrendous job numbers,Josh Mandel campaign says Sherrod Brown owns Ohio's horrendous job numbers,74,74,0,1.0,1.0,100.0
http://www.politifact.com/rhode-island/statements/2012/aug/19/barry-hinckley/us-senate-candidate-barry-hinckley-says-incumbent-/,http://www.politifact.com/rhode-island/statements/2012/oct/07/barry-hinckley/us-senate-candidate-barry-hinckley-says-incumbent-/,U.S. Senate candidate Barry Hinckley says incumbent Sen. Sheldon Whitehouse voted for a $525-billion tax hike on the middle class,U.S. Senate candidate Barry Hinckley says incumbent Sen. Sheldon Whitehouse voted for a $525-billion tax hike on the middle class,129,129,0,1.0,1.0000002,100.0
http://www.politifact.com/ohio/statements/2011/jul/15/john-boehner/house-speaker-john-boehner-says-obamas-economists-/,http://www.politifact.com/new-jersey/statements/2011/jul/19/national-republican-congressional-committee/NRCC-stimulus-278k-per-job/,"House Speaker John Boehner says Obama's economists figure stimulus cost at $278,000 per job","NRCC says stimulus supported by New Jersey Democrats cost $278,000 per job",91,74,59,0.3,0.90136635,35.16483516483516
http://www.politifact.com/wisconsin/statements/2011/jan/31/jeff-stone/milwaukee-county-executive-candidate-jeff-stone-sa/,http://www.politifact.com/wisconsin/statements/2011/feb/11/jeff-stone/milwaukee-county-executive-candidate-jeff-stone-sa/,Milwaukee County executive candidate Jeff Stone says he’s the only candidate who has voted against increasing government pensions,Milwaukee County executive candidate Jeff Stone says he’s the only candidate who has voted against increasing government pensions,129,129,0,1.0,1.0,100.0
http://www.politifact.com/truth-o-meter/statements/2011/nov/02/jon-huntsman/Says-Mitt-Romney-flip-flopped-on-abortion/,http://www.politifact.com/truth-o-meter/statements/2011/nov/28/democratic-national-committee/dnc-ad-says-mitt-romney-flip-flopped-abortion/,Jon Huntsman accuses Mitt Romney of flip-flopping on abortion,DNC ad says Mitt Romney flip-flopped on abortion,61,48,22,0.3076923076923077,0.91437197,63.934426229508205
http://www.politifact.com/virginia/statements/2010/nov/12/bob-mcdonnell/bob-mcdonnell-says-virginia-has-gained-60000-jobs-/,http://www.politifact.com/virginia/statements/2010/nov/17/bob-mcdonnell/bob-mcdonnell-says-virginia-has-gained-60000-jobs-/,"Bob McDonnell says Virginia has gained 60,000 jobs since he became governor ","Bob McDonnell says Virginia has gained 60,000 jobs since he became governor ",76,76,0,1.0,0.9999999,100.0
http://www.politifact.com/truth-o-meter/statements/2015/nov/23/hillary-clinton/hillary-clinton-says-she-helped-usher-iran-negotia/,http://www.politifact.com/truth-o-meter/statements/2016/jul/27/bill-clinton/bill-clinton-praises-hillarys-half-court-shot-iran/,Hillary Clinton says she helped usher Iran to the negotiating table,Bill Clinton praises Hillary's 'half-court shot' on Iran sanctions as secretary of state,67,88,56,0.09090909090909091,0.74556184,36.36363636363637
http://www.politifact.com/truth-o-meter/statements/2014/mar/02/mike-rogers/why-crimea-matters-russia/,http://www.politifact.com/punditfact/statements/2014/mar/02/david-ignatius/historical-claim-shows-why-crimea-matters-russia/,Why Crimea matters to Russia,Historical claim shows why Crimea matters to Russia,28,51,24,0.625,0.9119408,52.94117647058824
http://www.politifact.com/ohio/statements/2012/jun/12/samuel-wurzelbacher/samuel-joe-plumber-wurzelbacher-says-marcy-kaptur-/,http://www.politifact.com/ohio/statements/2012/may/15/samuel-wurzelbacher/samuel-joe-plumber-wurzelbacher-says-marcy-kaptur-/,Samuel ''Joe the Plumber'' Wurzelbacher says Marcy Kaptur opposed a ban on gender abortions,Samuel ''Joe the Plumber'' Wurzelbacher says Marcy Kaptur opposed a ban on gender abortions,91,91,0,1.0,0.9999999,100.0
http://www.politifact.com/texas/statements/2012/sep/04/julian-castro/julian-castro-says-milken-institute-named-san-anto/,http://www.politifact.com/texas/statements/2012/aug/01/julian-castro/julian-castro-says-milken-institute-named-san-anto/,Julián Castro says Milken Institute named San Antonio nation’s top-performing local economy,Julián Castro says Milken Institute named San Antonio nation’s top-performing local economy,91,91,0,1.0,1.0000002,100.0
http://www.politifact.com/georgia/statements/2013/feb/21/bill-jackson/gun-claim-goes-awry/,http://www.politifact.com/georgia/statements/2013/feb/20/paul-broun/congressman-uses-wrong-words-gun-claim/,Gun claim goes awry,Congressman uses wrong words on gun claim,19,41,33,0.2222222222222222,0.734738,19.512195121951216
http://www.politifact.com/wisconsin/statements/2012/may/18/graeme-zielinski/wisconsin-democratic-party-spokesman-zielinski-say/,http://www.politifact.com/wisconsin/statements/2012/mar/28/graeme-zielinski/wisconsin-democratic-party-spokesman-zielinski-say/,Wisconsin Democratic Party spokesman Zielinski says Gov. Walker is helping defend man accused of ‘boy rape’,Wisconsin Democratic Party spokesman Zielinski says Gov. Walker is helping defend man accused of ‘boy rape’,107,107,0,1.0,1.0,100.0
http://www.politifact.com/florida/statements/2015/jul/23/marco-rubio/marco-rubio-says-iran-deal-means-we-have-help-defe/,http://www.politifact.com/virginia/statements/2015/sep/04/donald-trump/trump-says-iran-deal-forces-us-defend-iran-if-its-/,Marco Rubio says Iran deal means we have to help defend Iran from Israel or other allies,Trump says Iran deal forces U.S. to defend Iran if it's attacked by Israel,88,74,49,0.2608695652173913,0.89742625,44.31818181818182
http://www.politifact.com/florida/statements/2012/jul/11/american-commitment/another-outside-group-says-bill-nelson-was-decidin/,http://www.politifact.com/florida/statements/2012/jun/14/60-plus-association/florida-bill-nelson-deciding-vote-health-care/,Another outside group says Bill Nelson was the deciding vote,Was Florida's Bill Nelson ''the deciding vote'' on the health care law?,60,71,51,0.29411764705882354,0.55632615,28.169014084507037
http://www.politifact.com/california/statements/2018/nov/05/students-parents-and-teachers-supporting-marshall-/false-attack-ads-claim-tony-thurmond-was-reprimand/,http://www.politifact.com/california/statements/2018/nov/05/students-parents-and-teachers-supporting-marshall-/false-attack-ads-claim-tony-thurmond-was-sued-aclu/,FALSE: Attack ad’s claim Tony Thurmond was ‘reprimanded’ by Obama,FALSE: Attack ad’s claim Tony Thurmond was ‘sued by the ACLU’,65,61,19,0.6153846153846154,0.83052975,70.76923076923076
http://checkyourfact.com/2017/10/25/fact-check-would-small-businesses-pay-the-lowest-tax-rate-in-over-80-years-under-the-gop-tax-plan/,http://checkyourfact.com/2017/09/22/fact-check-was-the-last-time-the-us-significantly-reformed-the-tax-code-in-1986/,Would Small Businesses Pay The Lowest Tax Rate In Over 80 Years Under The GOP Tax Plan?,Was The Last Time The US ‘Substantially’ Reformed The Tax Code In 1986?,87,71,65,0.13043478260869565,0.6496985,25.287356321839084
http://www.politifact.com/truth-o-meter/statements/2016/jun/24/hillary-clinton/clinton-trump-both-say-moodys-economist-others-tea/,http://www.politifact.com/truth-o-meter/statements/2016/jul/27/tim-kaine/dnc-tim-kaine-says-even-republicans-think-donald-t/,"Clinton, Trump both say Moody's economist is on the other team","At DNC, Tim Kaine says even Republicans think Donald Trump's proposals are problematic",62,86,66,0.0,0.61287165,23.25581395348837
http://www.politifact.com/truth-o-meter/statements/2012/aug/31/mitt-romney/mitt-romney-said-barack-obama-began-his-presidency/,http://www.politifact.com/truth-o-meter/statements/2012/oct/17/mitt-romney/mitt-romney-says-barack-obama-began/,Mitt Romney said Barack Obama began his presidency with an apology tour,Mitt Romney says Barack Obama began his presidency ''with an apology tour'',71,75,6,0.6,0.98636436,92.0
http://www.politifact.com/truth-o-meter/statements/2016/apr/27/new-day-america/super-pacs-1-trillion-tax-claim-against-hillary-cl/,http://www.politifact.com/pennsylvania/statements/2016/aug/25/mike-pence/pa-pence-repeats-half-true-claim-clinton-would-rai/,"Super PAC's $1 trillion tax claim against Hillary Clinton ignores timeframe, who would pay","In PA, Pence repeats half-true claim that Clinton would raise taxes by a trillion dollars",90,89,68,0.16,0.80329335,24.444444444444446
http://www.politifact.com/wisconsin/statements/2011/mar/11/scott-fitzgerald/wisconsin-senate-majority-leader-scott-fitzgerald-/,http://www.politifact.com/wisconsin/statements/2011/may/26/scott-fitzgerald/wisconsin-senate-majority-leader-scott-fitzgerald-/,Wisconsin Senate Majority Leader Scott Fitzgerald says half of state residents are “on some kind of government handout”,Wisconsin Senate Majority Leader Scott Fitzgerald says half of state residents are “on some kind of government handout”,119,119,0,1.0,1.0,100.0
http://www.politifact.com/florida/statements/2012/oct/17/connie-mack/connie-mack-says-repeatedly-bill-nelson-voted-incr/,http://www.politifact.com/florida/statements/2012/aug/20/connie-mack/connie-mack-bill-nelson-voted-taxes-150-times/,Connie Mack says -- repeatedly -- that Bill Nelson voted for higher taxes 150 times,Connie Mack said Bill Nelson voted to raise taxes 150 times,83,59,30,0.47058823529411764,0.95686144,63.85542168674698
http://www.politifact.com/truth-o-meter/statements/2011/sep/23/rick-perry/rick-perry-says-mitt-romney-deleted-health-care-li/,http://www.politifact.com/truth-o-meter/statements/2011/dec/11/rick-perry/rick-perry-says-mitt-romneys-book-deleted-line-mas/,Rick Perry says Mitt Romney shifted stance when he deleted health care line from his book,Rick Perry says Mitt Romney's book deleted line that Mass. health care law ''should be the model for the country'',89,114,63,0.34615384615384615,0.81212604,44.73684210526315
http://www.politifact.com/truth-o-meter/statements/2012/oct/05/barack-obama/obama-says-romney-would-spend-2-trilllion-military/,http://www.politifact.com/truth-o-meter/statements/2012/oct/24/barack-obama/obama-says-romney-would-spend-2-trilllion-military/,Obama says Romney would spend $2 trillion that the military hasn't asked for,Obama says Romney would spend $2 trillion that the military hasn't asked for,76,76,0,1.0,1.0000002,100.0
http://www.politifact.com/new-jersey/statements/2012/apr/12/cory-booker/cory-booker-claims-devils-managing-partner-jeff-va/,http://www.politifact.com/new-jersey/statements/2012/apr/12/cory-booker/cory-booker-claims-jeff-vanderbeek-took-us-arbitra/,Cory Booker claims Devils managing partner Jeff Vanderbeek refused to give any of the charitable dollars required under lease agreement for the Prudential Center,Cory Booker claims Jeff Vanderbeek “took us into arbitration” in dispute over Prudential Center,161,95,90,0.23333333333333334,0.47327602,44.09937888198758
http://www.politifact.com/virginia/statements/2016/jul/23/hillary-clinton/clinton-wrongly-says-she-was-only-one-primaries-ni/,http://www.politifact.com/truth-o-meter/statements/2016/aug/17/hillary-clinton/clinton-repeats-wrong-claim-no-other-2016-candidat/,Clinton wrongly says she was only one in primaries to nix middle-class tax hikes,Clinton repeats wrong claim that no other 2016 candidate pledged not to raise middle-class taxes,80,96,53,0.11538461538461539,0.7950225,44.791666666666664
http://www.politifact.com/punditfact/statements/2014/nov/09/greta-van-susteren/claim-new-jersey-has-had-7-credit-downgrades-chris/,http://www.politifact.com/punditfact/statements/2015/jul/02/donna-brazile/dem-pundit-brazile-says-nj-credit-rating-fell-reco/,Claim: New Jersey has had 7 credit downgrades since Chris Christie took office,Democratic pundit Donna Brazile says N.J. credit rating fell record 9 time under Chris Christie,78,95,69,0.12,0.78444386,27.368421052631575
http://www.politifact.com/virginia/statements/2015/oct/20/donald-trump/trump-bernie-sanders-wants-tax-everyone-90-percent/,http://www.politifact.com/truth-o-meter/statements/2015/oct/28/chris-christie/chris-christie-says-bernie-sanderss-plan-raise-you/,Trump: Bernie Sanders wants to tax 'you people' at 90 percent,Chris Christie says Bernie Sanders’s plan is 'to raise your taxes to 90 percent',61,80,40,0.13636363636363635,0.9405481,50.0
http://www.politifact.com/tennessee/statements/2012/oct/15/phil-roe/roe-letter-claims-consumer-commission-stopping-buc/,http://www.politifact.com/tennessee/statements/2012/oct/15/marsha-blackburn/blackburn-letter-claims-consumer-commission-stoppi/,Roe letter claims Consumer commission stopping Buckyballs sales “without consultation or input from the company”,Blackburn letter claims Consumer commission stopping Buckyballs sales “without consultation or input from the company”,112,118,9,0.875,0.99548674,92.37288135593221
http://www.politifact.com/truth-o-meter/statements/2009/jul/30/chain-email/health-care-exchange-governments-way-regulating-in/,http://www.politifact.com/truth-o-meter/statements/2009/jul/30/chain-email/health-choices-commissioner-does-not-decide-your-h/,Health care exchange is government's way of regulating insurers,Health Choices Commissioner does not decide your health benefits,63,64,46,0.0625,0.43480706,28.125
